Date,Open,High,Low,Close,Adj Close,Volume
2020-11-02,66100.000000,67100.000000,65600.000000,66900.000000,66841.867188,1599280
2020-11-03,66900.000000,67800.000000,66400.000000,67300.000000,67241.523438,2018930
2020-11-04,68100.000000,72200.000000,68000.000000,71900.000000,71837.531250,7155130
2020-11-05,71800.000000,73700.000000,70600.000000,72600.000000,72536.921875,5306835
2020-11-06,73400.000000,76100.000000,73100.000000,74100.000000,74035.609375,6577860
2020-11-09,75000.000000,75200.000000,73500.000000,74300.000000,74235.437500,2968675
2020-11-10,71500.000000,72300.000000,70800.000000,71200.000000,71138.132813,5525500
2020-11-11,70300.000000,71700.000000,69500.000000,71100.000000,71038.218750,3569215
2020-11-12,72000.000000,72900.000000,71000.000000,71500.000000,71437.875000,2776395
2020-11-13,71000.000000,73200.000000,71000.000000,73100.000000,73036.484375,2691030
2020-11-16,74200.000000,74300.000000,71900.000000,72400.000000,72337.093750,2789935
2020-11-17,71600.000000,73000.000000,71200.000000,72400.000000,72337.093750,2261375
2020-11-18,72000.000000,73700.000000,71900.000000,73100.000000,73036.484375,2422465
2020-11-19,73500.000000,74300.000000,73100.000000,73100.000000,73036.484375,2150600
2020-11-20,73300.000000,73600.000000,72400.000000,73100.000000,73036.484375,1336330
2020-11-23,73700.000000,73800.000000,73000.000000,73400.000000,73336.218750,1815980
2020-11-24,73300.000000,75400.000000,73300.000000,74600.000000,74535.179688,3248775
2020-11-25,75500.000000,75500.000000,73200.000000,73400.000000,73336.218750,3516395
2020-11-26,73500.000000,74900.000000,73300.000000,74800.000000,74735.000000,2697850
2020-11-27,75100.000000,75500.000000,74200.000000,74600.000000,74535.179688,1679180
2020-11-30,74600.000000,74800.000000,73600.000000,73600.000000,73536.046875,2724950
2020-12-01,73900.000000,75000.000000,73800.000000,74900.000000,74834.914063,2263615
2020-12-02,75100.000000,75100.000000,74200.000000,74600.000000,74535.179688,2202500
2020-12-03,74600.000000,74800.000000,73800.000000,74800.000000,74735.000000,2321855
2020-12-04,74800.000000,78500.000000,74200.000000,77900.000000,77832.312500,7808725
2020-12-07,79000.000000,79000.000000,76100.000000,77000.000000,76933.093750,4473715
2020-12-08,77500.000000,77600.000000,74800.000000,74900.000000,74834.914063,3843000
2020-12-09,75000.000000,75600.000000,74600.000000,75000.000000,74934.828125,2899525
2020-12-10,74200.000000,75600.000000,73500.000000,74100.000000,74035.609375,4092785
2020-12-11,74800.000000,76000.000000,74600.000000,74900.000000,74834.914063,2192025
2020-12-14,75300.000000,76200.000000,74500.000000,74700.000000,74635.093750,2401440
2020-12-15,74700.000000,75100.000000,73800.000000,74200.000000,74135.523438,1965785
2020-12-16,74700.000000,75000.000000,74200.000000,74400.000000,74335.351563,1346265
2020-12-17,74800.000000,74800.000000,73700.000000,73800.000000,73735.875000,2275655
2020-12-18,73800.000000,73900.000000,73100.000000,73400.000000,73336.218750,2137165
2020-12-21,73400.000000,76000.000000,73400.000000,75900.000000,75834.054688,4099395
2020-12-22,76000.000000,77900.000000,75100.000000,75200.000000,75134.656250,4382580
2020-12-23,76200.000000,77100.000000,75400.000000,75500.000000,75434.390625,3149760
2020-12-24,75700.000000,76000.000000,74400.000000,74800.000000,74735.000000,2325660
